category,domain,length_category,model_family,model,attention,attention_backend,flash_attn_version,chunk_size,overlap,segmentation_method,top_k,embedding_model,query_strategy,num_chunks,context_tokens,latency,gpu_peak_gb,throughput_docs_per_hour,seed,n_samples,model_commit_hash,tokenizer_version,rougeL,bertscore_f1
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,0,sentence,3,sentence-transformers/all-MiniLM-L6-v2,first_tokens,19,2728,1.8187971115112305,0.8299560546875,1979.3301722415733,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.20273972602739726,0.8239651322364807
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,0,sentence,3,sentence-transformers/all-MiniLM-L6-v2,first_tokens,29,1952,1.2787327766418457,1.6902732849121094,2815.2871856887637,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.14673913043478262,0.8123055100440979
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,0,sentence,3,sentence-transformers/all-MiniLM-L6-v2,first_tokens,21,3024,1.3263850212097168,1.826286792755127,2714.144039953538,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.18338108882521492,0.8313679695129395
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,0,sentence,3,sentence-transformers/all-MiniLM-L6-v2,first_tokens,16,3003,1.3190028667449951,1.8262853622436523,2729.334477402613,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.16,0.8318737745285034
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,0,sentence,3,sentence-transformers/all-MiniLM-L6-v2,first_tokens,21,2940,1.3383896350860596,1.8262839317321777,2689.799670907132,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.18328840970350405,0.8236643075942993
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,0,sentence,3,sentence-transformers/all-MiniLM-L6-v2,first_tokens,19,3019,1.333569049835205,1.826286792755127,2699.5227584539907,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.18241042345276873,0.8339793086051941
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,0,sentence,3,sentence-transformers/all-MiniLM-L6-v2,first_tokens,25,3020,1.3383288383483887,1.826286792755127,2689.921861388495,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.18354430379746833,0.8250925540924072
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,0,sentence,3,sentence-transformers/all-MiniLM-L6-v2,first_tokens,28,2974,1.525759220123291,1.8262853622436523,2359.4810717965693,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.17316017316017315,0.8390510082244873
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,0,sentence,3,sentence-transformers/all-MiniLM-L6-v2,first_tokens,17,3004,1.3291163444519043,1.8262853622436523,2708.5664960989957,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.16494845360824745,0.8429549336433411
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,0,sentence,3,sentence-transformers/all-MiniLM-L6-v2,first_tokens,17,3029,1.3130393028259277,1.826286792755127,2741.7305729174045,42,60,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.15107913669064751,0.8143028020858765
